iter	RMSE
0	243.2652353
1	223.6046312
2	205.7448789
3	190.3041119
4	176.4765025
5	164.1649997
6	153.6154687
7	144.1357865
8	136.0999506
9	128.9305504
10	122.6537788
11	117.1902121
12	112.3657787
13	107.9119665
14	104.4220268
15	101.2503311
16	98.20368382
17	95.65548561
18	93.41419602
19	91.36977852
20	89.72340003
21	88.11577769
22	86.86170551
23	85.59762359
24	84.56948884
25	83.4965479
26	82.63260117
27	81.83370503
28	81.10459648
29	80.46681056
30	79.94990986
31	79.47562328
32	79.00796242
33	78.61217328
34	78.25376774
35	77.79652793
36	77.39373174
37	76.99531838
38	76.69588556
39	76.4919598
40	76.27667293
41	76.04704282
42	75.7994205
43	75.6163022
44	75.47808754
45	75.34828073
46	75.24203756
47	74.9919742
48	74.90205224
49	74.69168564
50	74.5551197
51	74.44841075
52	74.33206165
53	74.24014801
54	74.15089708
55	74.06914797
56	73.93886165
57	73.82891857
58	73.77457836
59	73.67969337
60	73.55810875
61	73.48189631
62	73.4316956
63	73.33743389
64	73.29496134
65	73.23099378
66	73.15717194
67	73.08197674
68	73.02554194
69	72.95785155
70	72.92800676
71	72.87590896
72	72.85231503
73	72.80508386
74	72.75476124
75	72.72746671
76	72.68240976
77	72.64723745
78	72.61428982
79	72.56862104
80	72.53837337
81	72.51902724
82	72.48880625
83	72.46101671
84	72.42511984
85	72.40363847
86	72.37013165
87	72.3369837
88	72.2927851
89	72.27117889
90	72.25863443
91	72.23431123
92	72.18781499
93	72.16435136
94	72.13695261
95	72.11306437
96	72.09088547
97	72.07550853
98	72.05356925
99	72.0313537
100	72.00252149
101	71.974952
102	71.95920854
103	71.93852142
104	71.92266707
105	71.91368463
106	71.89743373
107	71.88040009
108	71.8636619
109	71.83719376
110	71.82649671
111	71.81097884
112	71.79342495
113	71.7770491
114	71.76035342
115	71.73452796
116	71.70936836
117	71.70160856
118	71.68784279
119	71.67336364
120	71.65950527
121	71.65036935
122	71.63438966
123	71.61255381
124	71.60029244
125	71.58803201
126	71.5687276
127	71.55350612
128	71.54134475
129	71.53327741
130	71.52448347
131	71.51260688
132	71.50246529
133	71.48642876
134	71.47432509
135	71.46113847
136	71.4464923
137	71.43674817
138	71.42840549
139	71.41977248
140	71.41466215
141	71.4049224
142	71.39283487
143	71.38368629
144	71.3767265
145	71.3636792
146	71.35064682
147	71.34216861
148	71.33281703
149	71.32490948
150	71.31521154
151	71.30962579
152	71.30163666
153	71.29649531
154	71.28756209
155	71.27681254
156	71.26982329
157	71.26412897
158	71.25666698
159	71.24528602
160	71.2369438
161	71.22970847
162	71.22294386
163	71.21697208
164	71.20796367
165	71.2030272
166	71.19374607
167	71.18128383
168	71.17352417
169	71.16827373
170	71.15930986
171	71.15041763
172	71.14414995
173	71.13981354
174	71.13152393
175	71.12397582
176	71.11582504
177	71.10918025
178	71.10435075
179	71.09939738
180	71.0948903
181	71.08994401
182	71.08295902
183	71.07595767
184	71.06930202
185	71.06328207
186	71.05764864
187	71.04610498
188	71.03684903
189	71.03388813
190	71.0270033
191	71.02158656
192	71.01772094
193	71.01240982
194	71.00357523
195	70.99937608
196	70.9940482
197	70.99073826
